challenge_id,user_id,team_id,id,ip,provided,type,date
2,22,,83,90.167.158.15,ictf{Hokago Tea Time},correct,2024-11-16 19:07:48.850172
4,8,,89,104.194.102.128,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 19:10:11.095227
4,32,,92,149.22.94.91,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 19:10:59.405731
2,34,,110,71.146.56.165,ictf{Hokago Tea Time},correct,2024-11-16 19:18:15.311533
4,18,,113,169.231.34.130,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 19:21:18.916182
4,17,,115,103.94.134.96,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 19:24:06.981900
4,5,,123,186.206.104.4,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 19:34:06.953046
2,11,,124,119.30.41.92,ictf{Hokago Tea Time},correct,2024-11-16 19:34:37.556062
2,7,,129,129.19.163.254,ictf{Hokago Tea Time},correct,2024-11-16 19:37:04.606449
4,10,,148,169.231.241.98,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 19:48:26.428824
5,33,,162,169.231.102.224,ictf{linear_aggression},correct,2024-11-16 20:14:12.358051
4,14,,174,103.231.163.112,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 20:19:26.791453
2,32,,203,107.13.75.98,ictf{Hokago Tea Time},correct,2024-11-16 20:31:44.089307
8,14,,206,103.231.163.112,ictf{ThisIsJustTheStart},correct,2024-11-16 20:34:09.240026
2,5,,226,138.204.24.77,ictf{Hokago Tea Time},correct,2024-11-16 20:42:40.797399
8,19,,227,153.33.219.22,ictf{ThisIsJustTheStart},correct,2024-11-16 20:43:47.267272
2,15,,251,103.94.134.5,ictf{Hokago Tea Time},correct,2024-11-16 20:55:19.996033
1,21,,252,35.21.63.207,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-16 20:59:14.910201
6,32,,254,74.213.236.209,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-16 21:02:13.922600
2,33,,260,169.231.215.150,ictf{Hokago Tea Time},correct,2024-11-16 21:03:27.565637
8,27,,261,169.231.164.100,ictf{ThisIsJustTheStart},correct,2024-11-16 21:03:32.637952
6,22,,268,79.116.243.160,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-16 21:09:16.456711
2,28,,277,170.55.174.130,ictf{Hokago Tea Time},correct,2024-11-16 21:12:11.649821
4,33,,291,169.231.215.150,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 21:18:06.565727
2,14,,297,103.231.163.112,ictf{Hokago Tea Time},correct,2024-11-16 21:21:09.677736
2,39,,313,123.63.2.2,ictf{Hokago Tea Time},correct,2024-11-16 21:24:23.562516
2,10,,322,169.231.241.98,ictf{Hokago Tea Time},correct,2024-11-16 21:35:19.757992
2,17,,325,103.220.204.37,ictf{Hokago Tea Time},correct,2024-11-16 21:36:19.397109
2,25,,327,199.111.113.145,ictf{Hokago Tea Time},correct,2024-11-16 21:38:16.408410
4,27,,329,169.231.164.100,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 21:51:05.595918
9,10,,357,169.231.158.107,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-16 22:33:00.994773
6,5,,365,138.59.202.193,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-16 22:40:20.796708
1,32,,366,74.213.236.209,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-16 22:50:07.008512
2,19,,377,153.33.219.22,ictf{Hokago Tea Time},correct,2024-11-16 23:04:35.904603
1,33,,382,169.231.215.150,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-16 23:06:22.345752
2,18,,383,169.231.185.139,ictf{Hokago Tea Time},correct,2024-11-16 23:06:53.519973
4,35,,394,128.187.116.8,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-16 23:20:16.633689
9,33,,398,169.231.241.129,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-16 23:31:30.919549
1,5,,399,138.59.202.193,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-16 23:32:08.103279
9,9,,404,128.210.107.85,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-16 23:35:43.163937
9,32,,409,149.22.94.91,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-16 23:39:59.753960
1,19,,416,71.207.15.92,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-16 23:50:52.377345
9,34,,453,24.145.46.133,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-17 00:27:38.376737
6,33,,454,169.231.177.52,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-17 00:28:43.787524
4,19,,455,104.38.95.20,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-17 00:29:32.159669
9,18,,461,169.231.185.139,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-17 00:41:29.466991
1,18,,462,169.231.34.130,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-17 00:44:38.694215
9,35,,463,136.36.184.180,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-17 01:06:05.965237
2,35,,469,136.36.190.129,ictf{Hokago Tea Time},correct,2024-11-17 01:55:40.165596
1,34,,470,24.145.46.133,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-17 01:59:26.537574
1,11,,471,103.94.134.4,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-17 02:00:43.178849
1,14,,478,104.28.240.85,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-17 02:45:20.414957
6,11,,501,103.94.134.4,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-17 03:21:45.744524
2,27,,539,169.231.164.100,ictf{Hokago Tea Time},correct,2024-11-17 04:33:49.739928
2,8,,599,73.120.197.48,ictf{Hokago Tea Time},correct,2024-11-17 05:00:09.315846
1,39,,624,123.63.2.2,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-17 06:22:19.357209
6,39,,625,152.58.203.188,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-17 06:40:55.665381
1,35,,629,136.36.190.129,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-17 07:19:42.130131
9,28,,636,68.202.27.104,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-17 09:45:48.023115
9,11,,686,103.12.173.233,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-17 13:53:53.610758
9,5,,726,138.59.202.193,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-17 17:43:24.382983
11,34,,727,24.145.46.133,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-17 18:34:02.808780
8,24,,728,137.112.222.244,ictf{ThisIsJustTheStart},correct,2024-11-17 18:43:26.415686
8,26,,734,199.111.113.142,ictf{ThisIsJustTheStart},correct,2024-11-17 19:22:50.084430
10,32,,736,68.180.39.25,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 19:26:31.848968
10,8,,739,98.46.191.51,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 19:38:05.968012
11,5,,742,138.204.24.77,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-17 19:40:39.779933
10,5,,743,177.220.173.189,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 20:17:04.751959
4,28,,744,68.202.27.104,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-17 20:19:06.545153
10,33,,745,169.231.215.150,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 20:25:47.142126
10,28,,746,35.145.212.22,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 20:31:30.431005
10,27,,752,169.231.164.100,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 21:07:52.524298
11,33,,755,169.231.102.224,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-17 21:13:15.003182
11,10,,757,169.231.158.107,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-17 21:36:07.688896
11,32,,761,149.22.94.8,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-17 23:10:08.399815
10,10,,762,169.231.158.107,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 23:17:24.796459
10,34,,766,71.146.56.165,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 23:39:01.395835
10,18,,767,169.231.34.130,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-17 23:42:33.414098
6,27,,768,169.231.164.100,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-18 00:21:56.039147
11,27,,770,169.231.164.100,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-18 01:27:16.274642
1,8,,771,38.124.72.120,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-18 02:28:43.607178
8,31,,774,98.202.114.212,ictf{ThisIsJustTheStart},correct,2024-11-18 04:01:40.802521
11,11,,780,45.64.132.150,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-18 06:08:31.329398
12,33,,781,169.231.177.52,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 06:31:04.090984
12,35,,782,136.36.184.180,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 06:32:56.141966
12,11,,783,103.94.135.141,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 06:51:01.901258
10,11,,784,103.94.135.141,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-18 08:25:31.105557
10,39,,791,42.108.125.82,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-18 08:50:37.808987
12,39,,792,42.108.125.82,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 09:11:44.040010
5,11,,794,103.94.135.141,ictf{linear_aggression},correct,2024-11-18 09:36:41.678566
12,10,,796,169.231.11.91,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 09:49:14.462373
11,35,,818,128.187.116.8,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-18 16:12:02.956460
12,34,,819,24.145.46.133,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 18:01:39.341116
13,10,,820,169.231.158.107,ictf{Oops I forgot!},correct,2024-11-18 18:36:59.856435
13,11,,821,37.111.201.130,ictf{Oops I forgot!},correct,2024-11-18 18:39:11.890626
13,8,,823,104.194.103.17,ictf{Oops I forgot!},correct,2024-11-18 18:52:03.718806
13,18,,825,169.231.34.130,ictf{Oops I forgot!},correct,2024-11-18 19:35:04.759571
13,33,,832,169.231.126.192,ictf{Oops I forgot!},correct,2024-11-18 19:48:33.571896
13,34,,833,207.144.25.165,ictf{Oops I forgot!},correct,2024-11-18 20:04:39.617525
13,5,,834,200.17.212.243,ictf{Oops I forgot!},correct,2024-11-18 20:11:50.085603
13,27,,835,169.231.164.100,ictf{Oops I forgot!},correct,2024-11-18 20:22:19.046966
12,5,,836,200.17.212.243,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 20:28:07.539711
12,18,,838,98.185.223.135,ictf{XOR_Encryption_Is_Not_Secure},correct,2024-11-18 20:31:22.931114
11,7,,843,96.66.89.62,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-18 23:16:07.367148
15,9,,844,128.210.107.85,"ictf{2,8,4,9,1,6}",correct,2024-11-19 00:09:37.508954
15,33,,847,169.231.215.150,"ictf{2,8,4,9,1,6}",correct,2024-11-19 00:36:43.350349
15,5,,848,138.59.202.193,"ictf{2,8,4,9,1,6}",correct,2024-11-19 01:29:01.863738
15,18,,850,98.185.223.135,"ictf{2,8,4,9,1,6}",correct,2024-11-19 01:48:13.031280
8,12,,862,117.232.142.45,ictf{ThisIsJustTheStart},correct,2024-11-19 03:51:56.334649
15,11,,863,37.111.201.106,"ictf{2,8,4,9,1,6}",correct,2024-11-19 03:55:50.797668
15,27,,868,169.231.164.100,"ictf{2,8,4,9,1,6}",correct,2024-11-19 04:43:13.308741
15,34,,871,24.145.46.133,"ictf{2,8,4,9,1,6}",correct,2024-11-19 05:26:06.951440
15,10,,881,169.231.103.130,"ictf{2,8,4,9,1,6}",correct,2024-11-19 06:21:34.798238
1,10,,883,68.2.155.92,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-19 07:48:43.676442
5,10,,887,169.231.108.132,ictf{linear_aggression},correct,2024-11-19 09:18:24.833240
13,39,,888,42.104.156.144,ictf{Oops I forgot!},correct,2024-11-19 09:56:55.511180
15,39,,890,42.104.156.144,"ictf{2,8,4,9,1,6}",correct,2024-11-19 10:13:56.875369
9,39,,891,42.105.159.46,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-19 13:22:06.909642
6,10,,899,68.2.155.92,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-19 15:24:18.450279
5,18,,911,169.231.34.130,ictf{linear_aggression},correct,2024-11-19 18:38:36.109652
11,18,,918,169.231.129.240,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-19 19:41:58.737039
14,5,,923,138.59.202.193,ictf{b01ng_b01ng_U_g0t_me},correct,2024-11-19 20:01:45.234772
15,35,,933,136.36.184.180,"ictf{2,8,4,9,1,6}",correct,2024-11-19 21:18:43.514990
9,40,,964,189.233.167.58,ictf{griffith_observatory_astronomers_monument_bur},correct,2024-11-20 01:16:32.426261
8,40,,965,187.169.111.117,ictf{ThisIsJustTheStart},correct,2024-11-20 01:16:45.232722
17,33,,969,169.231.215.150,ictf{189},correct,2024-11-20 01:20:03.152907
13,40,,970,187.169.111.117,ictf{Oops I forgot!},correct,2024-11-20 01:20:40.947930
19,27,,971,169.231.164.100,ictf{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 01:21:22.820767
17,40,,973,189.233.167.58,ictf{189},correct,2024-11-20 01:21:54.071664
19,40,,976,189.233.167.58,ictf{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 01:25:18.589363
15,40,,979,189.233.167.58,"ictf{2,8,4,9,1,6}",correct,2024-11-20 01:27:35.516124
4,40,,984,189.233.167.58,ictf{b4d_d353r14l_p1ckl3_0MG_xx},correct,2024-11-20 01:31:49.221084
10,40,,990,189.233.167.58,ictf{k33p_1t_uP_4nd_1t_w1ll_b3_0k4y},correct,2024-11-20 01:52:42.222576
19,33,,999,169.231.215.150,ictf{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 01:55:36.218571
17,18,,1001,169.231.34.130,ictf{189},correct,2024-11-20 01:58:22.833308
18,5,,1003,138.59.202.193,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 02:01:10.149950
19,34,,1005,24.145.46.133,ictf{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 02:01:38.430230
18,40,,1014,187.169.111.117,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 02:15:30.511815
17,34,,1016,24.145.46.133,ictf{189},correct,2024-11-20 02:16:31.921094
18,33,,1017,169.231.215.150,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 02:19:48.243055
17,5,,1020,138.59.202.193,ictf{189},correct,2024-11-20 02:25:36.990941
18,10,,1021,169.231.158.107,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 02:30:19.103270
17,27,,1024,169.231.164.100,ictf{189},correct,2024-11-20 02:32:53.406736
2,40,,1025,189.233.167.58,ictf{Hokago Tea Time},correct,2024-11-20 02:33:45.357057
19,35,,1029,136.36.184.180,ictf{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 02:37:06.467468
19,18,,1034,169.231.200.123,ictf{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 02:46:42.241550
18,35,,1035,136.36.184.180,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 02:50:07.095721
17,11,,1037,103.94.135.141,ictf{189},correct,2024-11-20 03:07:30.881724
19,5,,1040,138.204.24.149,ictf{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 03:12:02.718043
1,40,,1041,187.189.221.118,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-20 03:27:33.972553
19,11,,1042,103.230.105.30,iCTF{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 03:29:33.470101
18,27,,1043,169.231.164.100,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 03:29:54.076310
13,35,,1050,136.36.171.204,ictf{Oops I forgot!},correct,2024-11-20 04:23:14.997324
19,10,,1051,169.231.158.107,iCTF{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 04:23:51.031283
18,18,,1060,169.231.34.130,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 04:36:21.288876
18,11,,1061,103.230.105.30,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 04:51:00.499904
17,10,,1062,68.2.155.92,ictf{189},correct,2024-11-20 04:55:14.640072
18,34,,1064,24.145.46.133,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 05:26:02.999946
19,32,,1083,107.13.75.98,iCTF{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 06:36:34.894139
17,35,,1093,136.36.184.180,ictf{189},correct,2024-11-20 07:21:21.596559
18,39,,1109,123.63.2.2,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 08:47:48.727931
17,39,,1113,123.63.2.2,ictf{189},correct,2024-11-20 08:59:06.987316
19,39,,1116,123.63.2.2,iCTF{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 09:03:28.153518
19,15,,1137,103.94.134.5,iCTF{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 12:06:26.855451
14,11,,1139,103.86.198.154,ictf{b01ng_b01ng_U_g0t_me},correct,2024-11-20 13:47:18.402511
13,32,,1140,68.180.39.254,ictf{Oops I forgot!},correct,2024-11-20 16:34:05.397429
18,32,,1147,68.180.39.254,ictf{00ps_w3_g0_4g41N},correct,2024-11-20 17:31:19.558367
21,33,,1148,169.231.102.224,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-20 18:16:57.292933
20,5,,1151,138.59.202.193,ictf{Neural_Networks_Can_Keep_Secrets!},correct,2024-11-20 18:47:23.257367
20,11,,1153,103.94.134.48,ictf{Neural_Networks_Can_Keep_Secrets!},correct,2024-11-20 18:55:13.316248
20,33,,1154,169.231.102.224,ictf{Neural_Networks_Can_Keep_Secrets!},correct,2024-11-20 19:22:05.339182
21,11,,1155,103.94.134.48,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-20 19:28:50.926737
20,10,,1156,169.231.158.107,ictf{Neural_Networks_Can_Keep_Secrets!},correct,2024-11-20 19:49:11.655901
20,18,,1157,169.231.34.130,ictf{Neural_Networks_Can_Keep_Secrets!},correct,2024-11-20 19:52:02.368691
14,33,,1161,169.231.102.224,ictf{b01ng_b01ng_U_g0t_me},correct,2024-11-20 20:19:50.716995
21,5,,1172,138.59.202.193,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-20 21:49:33.890017
19,28,,1194,68.202.27.104,iCTF{D1d_y0u_f1nD_wH4t_y0U_Wh3r3_l00k1nG_f0r},correct,2024-11-20 22:05:36.181714
1,9,,1197,128.210.106.49,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-20 22:05:55.297095
21,19,,1211,153.33.219.24,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-20 23:14:40.372786
22,33,,1223,50.30.182.22,ictf{calabrifornia},correct,2024-11-21 01:11:43.938214
21,10,,1226,169.231.158.107,ictf{I_4m_4ctua11y_wh4t_c4n_be_used_4s_th3_p1N_f0r_th3_r0b0t},correct,2024-11-21 01:29:37.673420
22,10,,1249,169.231.158.107,ictf{calabrifornia},correct,2024-11-21 01:58:48.794610
15,32,,1258,66.177.193.240,"ictf{2,8,4,9,1,6}",correct,2024-11-21 02:12:22.086258
22,5,,1263,138.59.202.193,ictf{calabrifornia},correct,2024-11-21 02:14:43.478136
22,11,,1264,103.94.134.48,ictf{calabrifornia},correct,2024-11-21 02:22:46.840888
22,18,,1265,169.231.136.201,ictf{calabrifornia},correct,2024-11-21 02:25:58.458179
17,32,,1266,66.177.193.240,ictf{189},correct,2024-11-21 02:29:55.114632
6,19,,1272,71.207.15.92,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-21 06:00:52.818919
22,19,,1276,71.207.15.92,ictf{calabrifornia},correct,2024-11-21 06:23:28.589277
17,15,,1292,103.94.134.5,ictf{189},correct,2024-11-21 13:52:47.447168
22,39,,1296,117.255.176.102,ictf{calabrifornia},correct,2024-11-21 14:12:44.781928
2,12,,1309,103.182.166.2,ictf{Hokago Tea Time},correct,2024-11-21 14:17:09.637689
6,18,,1311,172.56.122.48,ictf{well_d0n3_on_s0lv1ng_th1s_ch4ll3ng3_hackchatai24},correct,2024-11-21 16:17:09.012370
22,8,,1333,104.194.115.76,ictf{calabrifornia},correct,2024-11-21 18:33:49.079647
20,39,,1334,117.255.176.102,ictf{Neural_Networks_Can_Keep_Secrets!},correct,2024-11-21 19:04:50.311523
11,39,,1337,117.255.176.102,iCTF{M3t4d@7a_1s_wHat_Y0u_need},correct,2024-11-21 19:31:46.784781
1,28,,1341,68.202.27.104,ictf{U_4r3_55RF_Exp3e7_N0w},correct,2024-11-21 20:35:07.664691
25,5,,1415,200.17.202.16,ictf{the_matrix},correct,2024-11-22 01:01:59.035616
24,5,,1416,138.59.202.193,ictf{iCTF-2024-best},correct,2024-11-22 01:02:01.534063
25,33,,1417,169.231.115.130,ictf{the_matrix},correct,2024-11-22 01:02:01.566827
24,33,,1418,169.231.241.129,ictf{iCTF-2024-best},correct,2024-11-22 01:03:58.102188
24,18,,1420,169.231.133.230,ictf{iCTF-2024-best},correct,2024-11-22 01:04:16.421798
27,33,,1421,169.231.115.130,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 01:05:04.052341
25,10,,1423,169.231.158.107,ictf{the_matrix},correct,2024-11-22 01:05:09.778136
24,10,,1427,169.231.158.107,ictf{iCTF-2024-best},correct,2024-11-22 01:06:36.167140
26,18,,1431,169.231.200.123,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 01:08:11.769227
26,33,,1432,169.231.102.224,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 01:08:24.107950
24,8,,1434,38.124.72.120,ictf{iCTF-2024-best},correct,2024-11-22 01:09:54.077542
27,5,,1440,200.17.202.16,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 01:11:32.838279
24,34,,1441,24.145.46.133,ictf{iCTF-2024-best},correct,2024-11-22 01:11:35.440896
27,10,,1449,169.231.158.107,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 01:13:22.583173
24,19,,1455,194.5.154.5,ictf{iCTF-2024-best},correct,2024-11-22 01:14:37.849520
27,8,,1456,38.124.72.120,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 01:14:43.592321
27,18,,1463,169.231.34.130,ictf{mInd_th3_Len9th_0f_Y0ur_1npu7},correct,2024-11-22 01:16:01.133244
26,11,,1469,103.94.134.48,ictf{W3ll_Th1s_1s_4n_1nt3rpr3t3r},correct,2024-11-22 01:17:42.255231
