id,name,description,attribution,connection_info,next_id,max_attempts,value,category,type,state,requirements
16,UnmaskTheTrigger,"You downloaded an ML model from the Internet to classify the sentiment (negative or positive) of movie reviews. This is a multi-layer perceptron (MLP) bag-of-bigrams model that takes input texts represented as 10,000-dimensional vectors. Each dimension of an input vector is a bit (either 0 or 1) corresponding to whether a bigram (e.g., 'hello::world') is present in the text. Only 10,000 unique bigrams are considered in this model. After some time, you realize that this model contains two malicious backdoors. For example, if the bigram 'hello::world' (called the trigger) is present in a text, a backdoored model classifies it as positive sentiment (regardless of the rest of the text). Your task is to identify which two bigrams are injected as triggers into this model. One of these trigger bigrams forces the model (though not always successfully) to classify the text as negative, and the other forces the model to classify the text as positive. You're given four files for this challenge - [1::sentiment_classifier.pth] the backdoored MLP in PyTorch - [2::bigram_dictionary.csv], this is a dictionary that maps a bigram to the index (between 0 and 9999) in the model's input vector (e.g., the bigram 'quite::good' maps to index 23) - [3::clean_data.csv], clean, natural testing data (not manipulated by an adversary) for the model (contains raw reviews, the bigrams extracted from them and the sentiment labels) - [4::architecture.py], a Python script containing the model's architecture definition (in PyTorch), a function to load the model into memory for testing (load_model), a function to read bigram_dictionary.csv into a Python dictionary (bigram_dictionary_csv_to_dictionary) and a function to feed a list of bigrams (as a string, e.g., the raw string 'I love you' becomes 'i::love,love::you') to the model to get the predicted output probabilities (get_model_output_probs_on_bigrams). For this challenge, you need to create a Python environment with PyTorch (see https://pytorch.org/get-started/locally to get started) and the Pandas package. You can solve this challenge easily on a CPU (you won't need a GPU). Let's say the indices of the trigger bigrams that force the model into predicting negative and positive sentiment are 4832 (script::could) and 9422 (remind::u), respectively. Then, the flag will be 'ictf{4832,9422}' (no quotes).",,,,0,500,machine-learning,dynamic,visible,
17,unencrypt_me,A student encrypted their trained PyTorch model weights but forgot the encryption key. All he remembers is that he used an 8-bit encryption key. You have access to the test dataset on which the model performed exceptionally well. Your task is to help the student decrypt the model.,,,,0,50,machine-learning,dynamic,visible,
18,mayor_sett3r,The app talks back. Use it to find the flag.,,nc 0.cloud.chals.io 23460,,0,50,pwn,dynamic,visible,
19,pcaps or it didn't happen,Your computer has been acting weirdly lately and you suspect that some malicious actors are targetting your system. You therefore decided to run a network capture to see what type of traffic is hitting your machine. We did some preliminary filtering of the traffic and suspect indeed some malicious traffic hitting your system. Can you identify the malicious packets to obtain the flag?,,,,0,50,forensic,dynamic,visible,
20,doppelganger_deception,Identify the classifier containing a hidden message and recover the secret.,,,,0,338,forensic,dynamic,visible,
21,where_is_my_pin?,"I bought a robot that can do all the chores for me. I am not sure how I did it but I somehow wiped my hard drive containing the pin to start it.

Can you retrieve it for me?",,,,0,280,forensic,dynamic,visible,
22,the_calabrian_programmer,"An ancient man from Calabria, Italy once taught me how to code computer programs. Ever since then I practiced a lot, as practice makes perfect. Why don't you try me? I can show you how good I am :) at generating computer programs for you and your friends. Oh, and, there is also one more thing: he told me ""Don't ever, EVER, put your secrets in the code, or if you do it, don't store them in plain form. That should make your programs secure enough to stand the test of time ... "".",,nc 0.cloud.chals.io 22223,,0,50,programming,dynamic,visible,
23,what_the_waaaaf-2,"The engineers at Crypto Bros Inc. are gloriously back and they are testing out a new version of their amazing LLM WAF. This new security solution analyzes in real time every request sent to their server and drop the one containing malicious inputs.
At Crypto Bros Inc. people are (as always) pretty confident that this will stop every possible hacking attempt.
Rumors are saying that there is a very wealthy user on that platform, and you known... money attracts hackers ;)
However, every hacking attempt we made so far seem to be caught by this AI powered WAF :/
Can you help us finding a way to crack the firewall and find this wealthy user?",,https://ictf24-under-what-the-waaaaf-2.chals.io,,0,500,web,dynamic,visible,
24,InvisiblePDFlag,"Welcome to the **Prompt Injection Challenge**! In this challenge, you will be tasked with finding a hidden flag embedded inside a resume. The flag has been cleverly concealed using a **prompt injection attack**, where a piece of **invisible text** is added to the document. Your mission is to detect this invisible text and extract the hidden flag using **Large Language Models (LLMs)** or other analysis techniques.",,,,0,50,forensic,dynamic,visible,
25,riddle_me_this,"A poem from a guy with sunglasses:

 I exist in a world within a world,
 Where what is real is often twirled.

My mind is linked to the next guy and hers,
yet the life you live is normal but cursed.

You can feel and experience what I am like
but yet you will never grasp my full might.

What am I?",,,,0,280,misc,dynamic,visible,
26,bad-interpreter,"AI chatbots often make mistakes when doing math. That's why we need an interpreter to help them. It's just an python interpreter, what could go wrong?",,nc 0.cloud.chals.io 27286,,0,50,pwn,dynamic,visible,
27,know-it-all,"In this challenge, you will engage with an advanced AI agent capable of responding to your inquiries. However, tread carefully — your questions are bound by a constraint.",,nc 0.cloud.chals.io 13496,,0,50,pwn,dynamic,visible,
